MNBU0101268,DYE,,21/01/2024 11:00,05/02/2024 07:00,05/02/2024 07:38,,-,FRESH  GRAPES,MERLIN SPA,MEROFRESX,MOHHHRKTR,ANOTHER TRANSPORT
SUDU8012563,DYE,,21/01/2024 11:00,05/02/2024 07:00,05/02/2024 07:38,,-,FRESH  GRAPES,TRIPLE RED LTD,EUROFRESX,MOHHHRKTR,ANOTHER TRANSPORT
SEGU9118164,DYE,13/01/2024 08:24,02/01/2024 00:00,31/01/2024 06:00,31/01/2024 10:30,02/02/2024 11:54,2.04134,GRAPES,ACME UK LTD,MAILOGHUD,MOHHHRKTR,ANOTHER TRANSPORT
TRIU8845769,DYE,13/01/2024 08:24,02/01/2024 00:00,31/01/2024 06:00,31/01/2024 10:30,02/02/2024 11:54,2.04134,GRAPES,MERLIN SPA,MAILOGHUD,MOHHHRKTR,ANOTHER TRANSPORT
MNBU4331910,DYE,,21/01/2024 11:00,30/01/2024 12:00,30/01/2024 12:16,07-Feb-24 13:32 PM,8.04038,NAVEL ORANGE,MERLIN SPA,MAILOGHUD,MOHHHRKTR,ANOTHER TRANSPORT
BREAKBULK,DYE,,22/01/2024 00:00,01/02/2024 00:00,,,-,GRAPES,MERLIN SPA,DAVBENQUB,MOHHHRKTR,ANOTHER TRANSPORT
BREAKBULK,DYE,,22/01/2024 00:00,01/02/2024 00:00,,,-,GRAPES,MERLIN SPA,DAVBENQUB,MOHHHRKTR,ANOTHER TRANSPORT
ZMOU8855461,DYE,15/01/2024 06:25,14/01/2024 00:00,29/01/24 21:00 PM,29-Jan-24 19:01 PM,02/02/2024 00:00,3.16616,ORRI MANDARIN,HORIZONS UK,ULTRALRNA,MOHHHRKTR,ANOTHER TRANSPORT
TEMU9074041,DYE,,02/01/2024 00:00,30/01/2024 00:00,,02/02/2024 11:54,-,GRAPES,TRIPLE RED LTD,MAILOGHUD,MOHHHRKTR,MOVING GOODS
CRSU6067158,DYE,,02/01/2024 00:00,30/01/2024 00:00,,02/02/2024 11:54,-,GRAPES,TRIPLE RED LTD,MAILOGHUD,MOHHHRKTR,MOVING GOODS
SZLU9357542,DYE,,02/01/2024 00:00,30/01/2024 00:00,,07-Feb-24 13:34 PM,-,GRAPES,TRIPLE RED LTD,MAILOGHUD,MOHHHRKTR,MOVING GOODS
TRIU8183554,DYE,13/01/2024 08:24,02/01/2024 00:00,31/01/2024 06:00,31/01/2024 10:30,07-Feb-24 13:34 PM,7.12386,GRAPES,TRIPLE RED LTD,MAILOGHUD,MOHHHRKTR,MOVING GOODS
